pc_code,pc_description,unit,country_code,country_name,quantity,value,Year

A2,Coffee,Kgs,7405,Trinidad,96,0.000604,2014

A2,Coffee,Kgs,9259,Mexico,350,0.013821,2014

A2,Coffee,Kgs,10017,Australia,5142900,16.661834,2014

A2,Coffee,Kgs,10027,Bangladesh Pr,94072,0.617983,2014

A2,Coffee,Kgs,10047,Brunei,195,0.000945,2014

A2,Coffee,Kgs,10077,China P Rp,209652,1.297299,2014

A2,Coffee,Kgs,10127,Fiji Is,55,0.000915,2014

A2,Coffee,Kgs,10179,Hong Kong,8014,0.052534,2014

A2,Coffee,Kgs,10187,Indonesia,3428146,20.342585,2014

A2,Coffee,Kgs,10189,Iran,440122,2.368556,2014

A2,Coffee,Kgs,10205,Japan,814931,5.293014,2014

A2,Coffee,Kgs,10217,Korea Rp,5130423,15.800243,2014

A2,Coffee,Kgs,10245,Malaysia,2722171,15.772537,2014

A2,Coffee,Kgs,10258,Myanmar,685000,3.895235,2014

A2,Coffee,Kgs,10273,Nepal,276968,2.351331,2014

A2,Coffee,Kgs,10285,New Zealand,364670,1.314796,2014

A2,Coffee,Kgs,10309,Pakistan Ir,7190,0.072376,2014

A2,Coffee,Kgs,10323,Philippines,5335,0.023427,2014

A2,Coffee,Kgs,10359,Singapore,930715,6.181949,2014

A2,Coffee,Kgs,10369,Sri Lanka Dsr,37674,0.289087,2014

A2,Coffee,Kgs,10397,Thailand,1830,0.022115,2014

A2,Coffee,Kgs,10437,Vietnam Soc Rep,854139,4.857956,2014

A2,Coffee,Kgs,11025,Baharain Is,46016,0.162472,2014

A2,Coffee,Kgs,11207,Jordan,6085849,22.617063,2014

A2,Coffee,Kgs,11219,Kuwait,4300078,16.144559,2014

A2,Coffee,Kgs,11225,Lebanon,249000,0.642827,2014

A2,Coffee,Kgs,11301,Oman,816767,2.329388,2014

A2,Coffee,Kgs,11335,Qatar,108494,0.317345,2014

A2,Coffee,Kgs,11351,Saudi Arab,3887167,12.9738,2014

A2,Coffee,Kgs,11391,Syria,1514413,5.928301,2014

A2,Coffee,Kgs,11419,U Arab Emts,2293551,9.69245,2014

A2,Coffee,Kgs,11453,Yemen Republc,80000,0.021484,2014

A2,Coffee,Kgs,12075,Taiwan,1406652,7.145035,2014

A2,Coffee,Kgs,12133,Fr Polynesia,21284,0.17128,2014

A2,Coffee,Kgs,12195,Israel,2633820,6.940524,2014

A2,Coffee,Kgs,12215,Korea Dp Rp,28900,0.165195,2014

A2,Coffee,Kgs,12247,Maldives,1209,0.004509,2014

A2,Coffee,Kgs,13019,Austria,652679,1.527967,2014

A2,Coffee,Kgs,13033,Belgium,12194605,41.756251,2014

A2,Coffee,Kgs,13101,Denmark,810088,2.247342,2014

